timestamp;value
1638638798.2397935;-37
1638638798.2401762;-40
1638638798.2405589;-33
1638638798.240825;-40
1638638798.2415903;-34
1638638798.2423556;-36
1638638798.243121;-26
1638638798.2438865;-13
1638638798.2446518;0
1638638798.245417;5
1638638798.2461824;14
1638638798.2469478;-2
1638638798.247713;-3
1638638798.2484784;1
1638638798.2492437;21
1638638798.2500093;53
1638638798.2507746;50
1638638798.25154;79
1638638798.2523053;96
1638638798.25275;97
1638638798.253123;107
1638638798.2534962;94
1638638798.2538693;93
1638638798.2542427;72
1638638798.2546158;65
1638638798.254989;39
1638638798.255362;27
1638638798.2557352;18
1638638798.2561083;9
1638638798.2564816;10
1638638798.2568548;39
1638638798.257228;-5
1638638798.257601;-22
1638638798.2579741;-31
1638638798.2583473;-32
1638638798.258579;-33
1638638798.2589548;-33
1638638798.2593303;-32
1638638798.259706;-40
1638638798.2600818;-32
1638638798.2604573;-12
1638638798.260833;-34
1638638798.2612088;-25
1638638798.2615843;-13
1638638798.26196;27
1638638798.2623358;30
1638638798.2627113;44
1638638798.263087;51
1638638798.2634628;55
1638638798.2638383;52
1638638798.264214;40
1638638798.264445;27
1638638798.2648244;-9
1638638798.2652037;-35
1638638798.265583;-57
1638638798.2659624;-78
1638638798.2663417;-86
1638638798.2667212;-107
1638638798.2671006;-102
1638638798.26748;-99
1638638798.2678592;-83
1638638798.2682385;-64
1638638798.2686179;-54
1638638798.2689972;-35
1638638798.2693765;-2
1638638798.2697558;26
1638638798.2701352;45
1638638798.270367;57
1638638798.2707436;30
1638638798.27112;27
1638638798.2714968;32
1638638798.2718732;31
1638638798.27225;29
1638638798.2726264;29
1638638798.273003;19
1638638798.2733796;10
1638638798.2737563;6
1638638798.2741327;13
1638638798.2745094;17
1638638798.2748861;11
1638638798.2752626;6
1638638798.2756393;16
1638638798.2760158;15
1638638798.276242;17
1638638798.2766173;6
1638638798.2769926;0
1638638798.2773678;10
1638638798.277743;13
1638638798.2781184;-13
1638638798.2784936;-11
1638638798.278869;-14
1638638798.2792444;-8
1638638798.2796197;-15
1638638798.279995;-19
1638638798.2803702;-8
1638638798.2807455;-3
1638638798.2811208;6
1638638798.281496;16
1638638798.2818713;15
1638638798.282103;15
1638638798.282488;12
1638638798.2828732;10
1638638798.2832584;2
1638638798.2836435;1
1638638798.2840285;23
1638638798.2844136;16
1638638798.2847989;21
1638638798.285184;21
1638638798.285569;46
1638638798.285954;27
1638638798.286339;15
1638638798.2867243;9
1638638798.2871094;-1
1638638798.2874944;4
1638638798.2878795;14
1638638798.288127;30
1638638798.2885106;13
1638638798.2888942;3
1638638798.2892778;-5
1638638798.2896614;-13
1638638798.290045;-41
1638638798.2904286;-70
1638638798.2908123;-77
1638638798.2911959;-69
1638638798.2915795;-66
1638638798.291963;-19
1638638798.2923467;0
1638638798.2927303;18
1638638798.293114;30
1638638798.2934976;50
1638638798.2938812;73
1638638798.294153;49
1638638798.29453;30
1638638798.2949069;35
1638638798.2952838;49
1638638798.2956607;46
1638638798.2960377;45
1638638798.2964149;36
1638638798.2967918;33
1638638798.2971687;35
1638638798.2975457;35
1638638798.2979226;5
1638638798.2982996;-8
1638638798.2986765;-37
1638638798.2990534;-77
1638638798.2994304;-80
1638638798.2998073;-113
1638638798.300055;-97
1638638798.3004327;-64
1638638798.30081;-55
1638638798.3011878;-71
1638638798.3015652;-79
1638638798.3019428;-88
1638638798.3023202;-79
1638638798.302698;-63
1638638798.3030753;-9
1638638798.303453;-27
1638638798.3038304;-8
1638638798.304208;11
1638638798.3045857;7
1638638798.304963;13
1638638798.3053408;3
1638638798.3057182;3
1638638798.305953;-3
1638638798.3063433;-16
1638638798.3067338;-13
1638638798.3071241;-7
1638638798.3075147;-12
1638638798.307905;-8
1638638798.3082955;-17
1638638798.3086858;-26
1638638798.309076;-33
1638638798.3094666;-28
1638638798.309857;-29
1638638798.3102474;-30
1638638798.3106377;1
1638638798.311028;-33
1638638798.3114185;-37
1638638798.3118088;-17
1638638798.312051;0
1638638798.3124318;18
1638638798.3128126;26
1638638798.313193;25
1638638798.3135738;35
1638638798.3139546;23
1638638798.3143353;83
1638638798.3147159;8
1638638798.3150966;-1
1638638798.3154774;4
1638638798.3158581;4
1638638798.3162389;5
1638638798.3166194;17
1638638798.3170002;9
1638638798.317381;-5
1638638798.3177617;-23
1638638798.317999;-30
1638638798.3183706;-24
1638638798.3187425;5
1638638798.3191142;-48
1638638798.3194861;-40
1638638798.3198578;-41
1638638798.3202298;-38
1638638798.3206015;-25
1638638798.3209734;-23
1638638798.321345;-8
1638638798.321717;0
1638638798.3220887;15
1638638798.3224607;50
1638638798.3228323;37
1638638798.3232043;38
1638638798.323576;22
1638638798.323806;10
1638638798.3245754;-6
1638638798.3253448;-33
1638638798.3261142;-48
1638638798.3268836;-48
1638638798.327653;-57
1638638798.328422;-53
1638638798.3291914;-36
1638638798.3299608;-19
1638638798.3307302;-9
1638638798.3314996;-1
1638638798.332269;0
1638638798.3330383;9
1638638798.3338077;-1
1638638798.334577;-10
1638638798.3353465;-5
1638638798.335782;0
1638638798.3361588;-2
1638638798.3365357;14
1638638798.3369124;18
1638638798.337289;16
1638638798.337666;17
1638638798.3380427;11
1638638798.3384194;3
1638638798.3387964;-4
1638638798.339173;-13
1638638798.3395498;-19
1638638798.3399267;-18
1638638798.3403034;-7
1638638798.3406801;-6
1638638798.341057;-11
1638638798.3414338;-9
1638638798.34168;-25
1638638798.342054;-40
1638638798.3424277;-38
1638638798.3428016;-20
1638638798.3431756;-11
1638638798.3435495;-5
1638638798.3439233;6
1638638798.3442972;25
1638638798.344671;55
1638638798.3450449;114
1638638798.3454187;147
1638638798.3457925;204
1638638798.3461666;204
1638638798.3465405;202
1638638798.3469143;200
1638638798.3472881;190
1638638798.347557;160
1638638798.3479345;101
1638638798.348312;55
1638638798.3486893;-3
1638638798.3490667;-30
1638638798.3494442;-38
1638638798.3498216;-53
1638638798.350199;-54
1638638798.3505764;-48
1638638798.3509538;-40
1638638798.3513312;-17
1638638798.3517087;-9
1638638798.352086;5
1638638798.3524635;15
1638638798.352841;14
1638638798.3532183;1
1638638798.353479;-2
1638638798.3538537;-4
1638638798.3542285;-1
1638638798.3546035;-2
1638638798.3549783;0
1638638798.355353;-11
1638638798.355728;-14
1638638798.3561027;-9
1638638798.3564777;3
1638638798.3568525;-11
1638638798.3572273;-11
1638638798.3576021;-17
1638638798.357977;-17
1638638798.358352;-14
1638638798.3587267;-26
1638638798.3591015;-2
1638638798.359339;11
1638638798.3597152;17
1638638798.3600914;14
1638638798.3604677;19
1638638798.3608437;12
1638638798.36122;-2
1638638798.361596;-9
1638638798.3619723;-8
1638638798.3623486;-2
1638638798.3627248;0
1638638798.363101;0
1638638798.3634772;-6
1638638798.3638532;-17
1638638798.3642294;-23
1638638798.3646057;-28
1638638798.364982;-24
1638638798.365214;-14
1638638798.3656037;-9
1638638798.3659933;-1
1638638798.3663828;4
1638638798.3667722;5
1638638798.3671618;16
1638638798.3675513;32
1638638798.367941;43
1638638798.3683305;51
1638638798.36872;52
1638638798.3691096;50
1638638798.3694992;83
1638638798.3698885;11
1638638798.3702781;7
1638638798.3706677;-9
1638638798.3710573;-2
1638638798.371299;1
1638638798.3716717;-12
1638638798.3720443;-10
1638638798.372417;-9
1638638798.3727896;-5
1638638798.3731623;-33
1638638798.373535;-40
1638638798.3739076;-37
1638638798.3742802;-34
1638638798.3746529;-30
1638638798.3750255;-25
1638638798.3753982;-39
1638638798.3757708;-44
1638638798.3761435;-42
1638638798.376516;-27
1638638798.3768888;13
1638638798.377119;1
1638638798.3775024;14
1638638798.3778858;0
1638638798.3782692;7
1638638798.3786528;1
1638638798.3790362;6
1638638798.3794196;2
1638638798.379803;-6
1638638798.3801863;8
1638638798.3805697;64
1638638798.380953;37
1638638798.3813365;45
1638638798.38172;63
1638638798.3821034;57
1638638798.3824868;78
1638638798.3828702;93
1638638798.383107;96
1638638798.3834913;85
1638638798.3838758;74
1638638798.3842602;73
1638638798.3846445;70
1638638798.3850288;67
1638638798.3854134;57
1638638798.3857977;59
1638638798.386182;52
1638638798.3865664;47
1638638798.386951;49
1638638798.3873353;49
1638638798.3877196;36
1638638798.388104;29
1638638798.3884885;23
1638638798.3888729;29
1638638798.389119;20
1638638798.3895004;17
1638638798.3898818;21
1638638798.3902633;19
1638638798.3906448;24
1638638798.3910263;24
1638638798.3914077;16
1638638798.3917892;13
1638638798.392171;11
1638638798.3925524;-6
1638638798.3929338;-36
1638638798.3933153;-11
1638638798.3936968;6
1638638798.3940783;53
1638638798.3944597;54
1638638798.3948412;63
1638638798.395093;61
1638638798.3954697;52
1638638798.3958464;46
1638638798.396223;38
1638638798.3965998;5
1638638798.3969765;-11
1638638798.3973532;-17
1638638798.3977299;-10
1638638798.3981068;-25
1638638798.3984835;-17
1638638798.3988602;14
1638638798.399237;24
1638638798.3996136;26
1638638798.3999903;66
1638638798.400367;118
1638638798.4007437;127
1638638798.400998;120
1638638798.4013767;82
1638638798.4017553;56
1638638798.402134;-2
1638638798.4025128;-22
1638638798.4028914;-43
1638638798.40327;-59
1638638798.4036486;-65
1638638798.4040272;-90
1638638798.4044058;-100
1638638798.4047844;-89
1638638798.405163;-75
1638638798.405542;-48
1638638798.4059205;-38
1638638798.406299;-13
1638638798.4066777;5
1638638798.406915;12
1638638798.4076781;10
1638638798.4084413;-2
1638638798.4092047;-10
1638638798.409968;-18
1638638798.410731;-19
1638638798.4114943;-33
1638638798.4122577;-54
1638638798.4130208;-69
1638638798.413784;-61
1638638798.4145472;-57
1638638798.4153104;-65
1638638798.4160738;-65
1638638798.416837;-57
1638638798.4176002;-44
1638638798.4183633;-34
1638638798.418796;-25
1638638798.4191713;-16
1638638798.4195464;4
1638638798.4199216;15
1638638798.4202967;19
1638638798.420672;32
1638638798.421047;32
1638638798.4214222;35
1638638798.4217973;25
1638638798.4221725;5
1638638798.4225476;3
1638638798.4229228;-6
1638638798.4232981;-10
1638638798.4236732;1
1638638798.4240484;-1
1638638798.4244235;-1
1638638798.424652;-6
1638638798.4250267;10
1638638798.4254012;0
1638638798.4257758;2
1638638798.4261503;6
1638638798.4265249;-3
1638638798.4268997;0
1638638798.4272742;6
1638638798.4276488;9
1638638798.4280233;0
1638638798.428398;-20
1638638798.4287724;-21
1638638798.429147;-18
1638638798.4295216;-28
